iter	Passed	Remaining
0	159	31658
1	161	16007
2	165	10883
3	170	8337
4	174	6812
5	177	5749
6	182	5033
7	187	4502
8	192	4090
9	198	3764
10	202	3485
11	207	3256
12	212	3063
13	218	2899
14	223	2753
15	227	2620
16	232	2504
17	234	2375
18	238	2276
19	241	2175
20	246	2105
21	251	2035
22	255	1969
23	260	1906
24	263	1842
25	265	1779
26	268	1721
27	270	1661
28	273	1610
29	275	1559
30	277	1511
31	278	1464
32	280	1421
33	282	1381
34	284	1342
35	286	1304
36	287	1268
37	289	1234
38	290	1201
39	292	1168
40	293	1138
41	294	1109
42	296	1082
43	297	1055
44	298	1029
45	300	1005
46	301	981
47	302	959
48	304	937
49	305	915
50	306	895
51	307	874
52	308	855
53	309	837
54	311	820
55	312	803
56	313	787
57	315	771
58	316	756
59	317	741
60	319	727
61	320	713
62	322	700
63	323	688
64	325	676
65	326	663
66	328	651
67	329	640
68	331	628
69	332	617
70	334	606
71	335	596
72	336	585
73	338	575
74	339	565
75	340	555
76	342	546
77	343	537
78	344	527
79	346	519
80	347	510
81	348	501
82	350	493
83	351	485
84	352	477
85	354	469
86	355	461
87	356	454
88	358	446
89	359	439
90	361	432
91	362	425
92	363	418
93	365	411
94	366	405
95	367	398
96	369	392
97	370	385
98	371	379
99	373	373
100	374	367
101	375	361
102	377	355
103	378	349
104	380	343
105	381	338
106	382	332
107	384	327
108	385	321
109	386	316
110	388	311
111	389	305
112	390	300
113	392	295
114	393	290
115	394	285
116	395	280
117	397	276
118	398	271
119	399	266
120	401	261
121	402	257
122	403	252
123	404	248
124	406	243
125	407	239
126	408	234
127	410	230
128	411	226
129	412	222
130	414	218
131	415	213
132	416	209
133	418	205
134	419	201
135	420	197
136	421	194
137	423	190
138	424	186
139	425	182
140	427	178
141	428	175
142	429	171
143	431	167
144	432	164
145	434	160
146	435	156
147	436	153
148	437	149
149	439	146
150	440	143
151	441	139
152	443	136
153	444	132
154	445	129
155	446	126
156	448	122
157	449	119
158	450	116
159	452	113
160	453	109
161	454	106
162	456	103
163	457	100
164	459	97
165	460	94
166	461	91
167	463	88
168	464	85
169	465	82
170	467	79
171	468	76
172	469	73
173	471	70
174	472	67
175	473	64
176	475	61
177	476	58
178	477	56
179	479	53
180	480	50
181	481	47
182	483	44
183	484	42
184	485	39
185	487	36
186	488	33
187	489	31
188	491	28
189	492	25
190	493	23
191	495	20
192	496	18
193	497	15
194	499	12
195	500	10
196	501	7
197	503	5
198	504	2
199	505	0
